"Company","Vessel Name","IMO"
"Unisea Shipping Ltd.","Aqualiberty","9592226"
"Carras (Hellas) SA","Aqualibra","9765603"
"Unisea Shipping Ltd.","Aqualoyalty","9594664"
"Polar Express SA","Aquamarine Ace","9397987"
"Coral Shipping Corp.","Aquanaut","9242120"
"Carras (Hellas) SA","Aquapisces","9757022"
"Unisea Shipping Ltd.","Aquapuelche","9778727"
"NYK Shipmanagement Pte. Ltd.","Aquarius Leader","9158276"
"Chevron Transport Corporation Ltd.","Aquarius Voyager","9289491"
"Unisea Shipping Ltd.","Aquasurazo","9785720"
"Unisea Shipping Ltd.","Aquatravesia","9785732"
"Aquila Transportation Corp.","Aquila","9521473"
"Rado Limited","Aquila","1009962"
"Euronav NV","Aquitaine","9732577"
"Euronav NV","Arafura","9728708"
"Aragona Transportation Corp.","Aragona","9513115"
"Euronav NV","Aral","9732541"
"Carnival PLC, trading as P&O Cruises","Arcadia","9226906"
"Carnival PLC, trading as P&O Cruises","Arcadia","9226906"
"Carnival PLC, trading as P&O Cruises","Arcadia","9226906"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Arcadia Highway","9078842"
"Activity Excellence SA","Archangel","9302592"
"San Gabriel Investment Corporation","Archangelos Gabriel","9308998"
"Archimidis Container Carrier Corp.","Archimidis","9315379"
"Archon Product Carrier SA","Archon","9724611"
"Mercury Emerald SA","Arctic","9315173"
"MT "Arctic Bay" Tankschiffahrtsgesellschaft mbH &","Arctic Bay","9318034"
"Arctic Blizzard Shipping Limited","Arctic Blizzard","9350862"
"Arctic Breeze Shipping Limited","Arctic Breeze","9350850"
"Arctic Flounder Maritime LLC.","Arctic Flounder","9332638"
"Magenta Investments Limited","Arctic P","1006207"
"Stichting Greenpeace Council","Arctic Sunrise","7382902"
"Euronav NV","Ardeche","9732565"
"Cromarty Shipco LLC","Ardmore Cherokee","9707845"
"Dogger Shipco LLC","Ardmore Cheyenne","9707857"
"Fisher Shipco LLC","Ardmore Chinook","9707869"
"Humber Shipco LLC","Ardmore Chippewa","9707871"
"OCY Dauntless Limited","Ardmore Dauntless","9707388"
"Lundy Shipco LLC","Ardmore Defender","9707390"
"Sea 111 Leasing Co. Limited","Ardmore Encounter","9654579"
"Trafalgar Shipco LLC","Ardmore Endeavour","9667942"
"Sea 47 Leasing Co. Limited","Ardmore Endurance","9654567"
"Rich Ocean Shipping Inc.","Ardmore Engineer","9654787"
"Sea 48 Leasing Co. Limited","Ardmore Enterprise","9654555"
"Sea 110 Leasing Co. Limited","Ardmore Explorer","9654581"
"Loyal Able International Holding Limited","Ardmore Exporter","9654775"
"Fastnet Shipco LLC","Ardmore Seafarer","9310161"
"Faroe Shipco LLC","Ardmore Seafox","9708215"
"Portland Shipco LLC","Ardmore Seahawk","9708239"
"Neil Limited","Ardmore Sealancer","9367695"
"Leonie Limited","Ardmore Sealeader","9367712"
"Kallang Limited","Ardmore Sealifter","9367700"
"Fair Isle Shipco LLC","Ardmore Sealion","9708203"
"Thames Shipco LLC","Ardmore Seamariner","9379519"
"Fitzroy Shipco LLC","Ardmore Seavaliant","9539913"
"Viking Shipco LLC","Ardmore Seavanguard","9637088"
"Forth Shipco LLC","Ardmore Seavantage","9637076"
"Bailey Shipco LLC","Ardmore Seaventure","9539925"
"Plymouth Shipco LLC","Ardmore Seawolf","9708227"
"MOL Chemical Tankers Pte. Ltd.","Argent Aster","9379959"
"MOL Chemical Tankers Pte. Ltd.","Argent Bloom","9367554"
"Benetnasch Shipping SA","Argent Cosmos","9393010"
"MOL Chemical Tankers Pte. Ltd.","Argent Daisy","9382061"
"MOL Chemical Tankers Pte. Ltd.","Argent Gerbera","9424596"
"MOL Chemical Tankers Pte. Ltd.","Argent Hibiscus","9414266"
"MOL Chemical Tankers Pte. Ltd.","Argent Iris","9459280"
"MOL Chemical Tankers Pte. Ltd.","Argent Sunrise","9392377"
"Argenta Transportation Corp.","Argenta","9289726"
"Eletson Corporation","Argironissos","9792852"
"Lucretia Shipping SA","Argo Wind","9758430"
"Lucretia Shipping SA","Argo Wind","9758430"
"Southport Maritime SA","Ariadne","9292967"
"Barracuda Maritime S.A.","Ariana","9316048"
